Date,DFEN,DIA,EEM,EFA,EWG,EWH,EWJ,EWZ,EZU,FAS,FAZ,FXI,GDX,GDXJ,IEFA,IEMG,IJR,ITB,IVV,IWM,KRE,PSQ,QID,SDOW,SDS,SH,SPXL,SPXS,SPXU,SPY,SRTY,TECS,TNA,TZA,UPRO,USMV,VEA,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XOP,XRT
2018-02-08,221900,15829100,163250200,59223600,9820000,10484900,20489400,26891500,14171200,3781600,1354200,56718900,51192400,11806700,10019500,19034400,6048300,5720800,9555900,44704500,10203700,5986400,3419000,3583000,14289800,13744600,13277100,10569900,8711000,246449500,806900,24800,4678300,3370900,14009100,5094100,25921100,31474900,12800000,27771100,135270500,27282100,27814300,32928400,26041900,20252500,8111500,7940500
2018-02-09,236500,19858000,153419800,67466800,14562000,11992500,30034600,31057100,21209800,4295900,1274900,50911800,101763800,25700600,14905700,21551600,5564800,6340900,15080700,53315300,12551400,6679600,4311500,4469700,23705300,26844500,15481900,13307900,11737400,283565300,1364900,51000,6970800,5510900,20016600,6896600,41241300,35526400,26417500,35174100,149504900,40362500,36350200,34912000,36422500,35535700,8070300,12785400
2018-02-12,201500,10458400,104447700,37528600,8556000,5613600,11621100,19257000,7804200,2585900,621200,29448100,70844400,26193700,7682400,15709100,4885300,2806000,6801400,36213900,9398800,3081100,2836100,2115200,10849300,10948400,9384500,8605000,6298800,143736000,1058500,16200,4432400,3625800,11858400,3124800,19705000,21421800,10470200,24956900,83571800,20776900,17814800,21013600,26504400,13389200,4512200,5623600
2018-02-13,154400,6234000,55739700,20574300,4605500,7143900,11725200,11918900,5810200,1861000,392400,18771700,21692900,7861100,6618200,14955100,3800400,2478700,4210500,25021200,3895600,1500300,1640100,1276400,5794000,5748600,6607500,5703200,3653000,81223600,510500,14800,2565100,1871400,6528900,2246100,11755700,13535000,6776300,12285000,43365500,12974600,9542000,11994500,25067200,8415200,2695000,2894100
2018-02-14,209300,5764000,96491500,31475400,5803400,5076400,18528800,27701300,8893900,3086800,492300,33366300,95516900,25607100,7100400,13114300,3029500,4374500,6380400,36286900,7764000,2093200,2095900,1811600,8127100,9734100,7033200,7228900,4356500,120735700,1025600,30000,4338100,3033700,9864600,1871100,11178000,15575200,7999700,19756900,57379700,13482800,16058800,20370500,20341100,10110800,6464200,6525400
2018-02-15,278100,6111500,95168100,31600600,5785100,3797200,10381800,14943200,5166200,3119100,452100,30228000,36155700,7469600,5763900,18457100,2732800,3030300,5461700,23773600,5239600,1737900,2280100,1456900,8180200,6375500,7578600,6627800,3589900,111200300,710100,20200,3650400,2011200,8042100,1521900,9923900,16484400,6149100,16469400,66976000,10800400,12152500,14788900,16504100,9519100,3673100,3419200
2018-02-16,259600,6399000,70876400,23606400,2375600,5883100,11860800,16155200,8000900,2093600,592800,22746800,49081700,15423800,9191300,19409900,2787900,3232800,4740000,27973900,5649600,1477400,2043100,1868000,8582400,9582900,7867600,5876400,3928100,160420100,947000,16200,3034800,2379700,7666800,1617100,9084000,15935200,8458500,13791100,47508200,11161700,10167100,11591600,20066500,9323000,2758300,2934300
2018-02-20,166000,8685200,78660300,25286900,3425900,7403700,7871900,17771700,20218900,1693600,385200,26476800,47894500,17353400,5521300,14659500,3343800,2364200,5578500,24046200,5234800,1095800,1498800,1583700,6340100,5393300,6606200,5719400,4358800,86369700,1069100,16700,3073800,1945600,6822900,2273500,8778500,17430700,5243700,17808100,58236100,11838900,16917600,16069800,16773300,8872100,3734400,4751100
2018-02-21,202900,5894800,66591900,30247700,2197300,6872500,6619600,16398600,14560000,1550400,341900,24299600,40097800,10937700,5573400,17131800,1933600,2741400,8167000,26735500,6398200,1697100,1764800,1879600,8686000,7907300,8045400,6108800,4054800,98883700,633200,24100,3830200,2427800,7148700,1185500,10894000,11135300,4997300,12545400,44578800,8650500,14551200,15207400,22461400,9417400,4220900,4607300
2018-02-22,102900,6342300,62436300,20537000,5021100,4363500,9825100,11386200,5510700,1984000,430800,19719200,27068100,7145300,9712700,11557200,2811400,3348000,5544500,16340000,5121700,1028000,1769000,2254000,7786900,4877500,7927800,8972300,3896100,110511300,875200,14100,2908700,2266000,6901800,1493400,9645000,14643500,4529400,15330300,47602700,10545200,10979400,10239200,20128900,6316100,4063600,3986600
2018-02-23,119900,5119000,43623300,30298500,4964400,3947200,7835400,12861000,5954500,1779300,314100,12658800,24782000,6989400,6409200,8382700,5333400,1847900,6619800,18065200,5979500,817900,946000,1038200,7014000,3761500,5206600,5488000,3559700,92766400,921600,18200,3227100,1535900,5743200,2582500,9922500,9523400,3532000,15684800,41187300,6603300,10386200,10321100,20642400,5498500,2721100,3898900
2018-02-26,221300,6120900,51742600,21007200,2466100,4770600,10646700,15899600,4366800,1877900,312600,14402200,30234300,9816300,5074400,10756900,2512800,2769900,3803500,15267700,3091000,779700,1095800,1559100,5097500,5121500,5547900,5066700,3025700,86491400,471200,14700,3224900,1605800,5719800,1636300,6249500,8733100,3254500,12156400,55124200,8623300,10797200,10100400,13604900,6266100,2318000,3671200
2018-02-27,161400,7219200,94671000,22449300,2438100,13086400,9196400,11397500,7192000,2100500,537500,33989100,69407300,23688700,5439200,13324100,2832100,4827100,6107300,18125500,4172500,1198000,1463500,1581300,6762400,5358500,6994400,5886200,3273000,99099200,1275900,20200,3961100,2037300,9562500,1706200,7921200,11459300,5918600,13465700,72752100,11019300,12790600,9832600,18201200,7460700,3642200,7129900
2018-02-28,173100,5299300,102169900,31642500,3021400,5402200,11535900,17612700,11543500,1604900,420200,28171000,33039000,5441300,9320400,17000300,2439400,5152500,4951800,29951800,4343800,1213600,1179200,1210800,6910500,5119900,7746500,5349600,4006700,121907800,1362000,18300,4771700,2109300,7773300,1535400,7700200,15494200,5570700,17622000,65254700,16203900,15232000,13726400,11946100,6279000,3874600,5280100
2018-03-01,380300,8144800,112694400,51282100,8695300,7037700,29940700,18132600,10756400,2990500,995800,40822800,59170800,16750300,10491900,22908700,5559800,4785100,7706000,38943200,6857600,2396400,2938000,2959200,14589500,8138800,10796400,10813300,7778200,176855100,1188400,35200,5695000,3856700,10593600,3646200,14945600,17585700,9962500,22975000,82467900,35549400,21486800,27808600,21591300,12720300,4234100,5694300
2018-03-02,201200,6393400,72756200,35512000,3243500,5505000,16979600,13599800,13697000,2508400,590300,25770000,25906400,10012500,9099000,10218300,2825000,3604700,5459300,31842300,7527400,1579700,2188300,2498100,9445500,8529900,8644000,8007100,4567400,139083200,1051200,26500,4835200,2806100,9051900,2493700,11738000,15955000,8009700,14578900,78991200,27076400,19196100,25965400,16857100,11206000,3548500,4780600
2018-03-05,143400,4891000,55905400,18968500,2841700,5763400,12229800,12294200,8801200,1731500,413700,27696300,38419800,4199000,6536300,10568100,2803200,3199200,4124400,19603700,5901300,1129900,1230400,1427900,8019800,4918400,8260300,6399000,3743800,97307400,527300,13400,3629100,1872800,7695900,1619500,7697900,10805600,6580600,12831500,58952100,23038400,10888900,18859700,15500400,11028800,3003500,2879200
2018-03-06,144700,4408500,57199200,20996900,2588200,5121300,19478500,16243800,31357800,1680400,415700,18763800,53458700,18754800,58271500,8366200,2686500,2707700,4385200,17304000,5594000,878600,1166500,1195200,6431800,4076600,5180900,6017200,2941000,79213200,488800,11500,3810800,2171500,6267000,1443600,7502100,13594800,8807500,15677900,49746100,18536300,10151900,20784300,20708000,9573300,3257500,4394100
2018-03-07,102300,5362600,46554800,14492500,3707300,4360400,7942100,12822200,5080700,1485700,369800,21611800,42129900,16469900,6032200,9017900,3157200,2372100,4153800,22684600,7056900,1058600,1228400,1569600,6489600,2902700,7490100,5154500,3117500,87063500,308400,12400,4232400,2136600,6500400,1468300,8727500,10584600,8393300,12362600,41530200,13625400,11109800,12592900,16678800,6868200,3375800,6383300
2018-03-08,106800,5846600,46733900,14883300,4111400,8544600,5578400,13224900,5983900,1407300,351100,17840400,18596900,9228200,5269900,5667400,1935700,2034700,3448800,23391300,5131700,698500,1072300,1122400,6248000,3165500,4788600,4427800,2480800,66901200,528500,13900,3487800,1481500,6303600,1218600,9444800,7127100,5167300,8013300,50803000,10849100,7624000,10725100,12258800,6403000,2523900,4473600
2018-03-09,159500,3904000,58818700,17319800,2726500,3050900,7626700,13260400,3759700,2742800,598700,21872000,23402900,11206500,8730500,10154100,2873000,1784100,5534500,24927200,5086800,1253100,1214200,1082200,7284400,6185700,5875100,5839500,2978500,113625300,304000,13700,3492400,2198100,6316500,791800,5860500,9149500,5863200,11393100,54595700,13092600,12342500,11486800,13098500,8253100,2806100,5404100
2018-03-12,190600,5512800,52944500,12801300,2024300,4539700,7665800,10004500,9583600,1945200,279700,17269800,32577300,13201500,10382000,17480500,3385800,2206700,3277300,15310100,6585900,1044500,1184700,983100,5068800,2867600,4652600,3486300,2278800,71924800,398100,6800,2424300,1685900,6120300,2786300,6268200,7912100,4775200,9486000,51784500,11093600,13506200,10915700,16231800,5760200,2316600,3949700
2018-03-13,125900,6100900,60376000,19138100,5186400,6445300,13739500,12602200,8489900,2005300,370100,25050500,17335400,6131400,5692100,14153700,3522000,2776400,5284300,17757200,4989600,1483800,2224300,994600,5603400,3261300,7375300,5962600,3149300,91968900,712000,16000,2956600,2025300,7956600,995000,8971800,9567400,6069200,10730900,47049400,11518800,13809400,12406100,18872500,6400700,2826100,5564300
2018-03-14,196400,6222800,51067200,13670800,4239200,5823400,6697700,18011500,4769200,1580900,441400,22768200,16708700,5623300,6268700,7646300,2747900,1944900,4153300,18097500,6708600,1233600,1339300,1415700,6047500,4072000,4263700,6293500,2676700,105895100,577300,12900,2710100,1601100,6090900,1221700,8914200,8146600,5429400,11348200,57278900,11626200,13881400,13519000,19132300,9416400,2820200,4364000
2018-03-15,75300,5069600,65778900,21712300,3617000,4131700,6143200,12106300,5066500,1040900,287300,21361000,30524800,9570900,11213500,9813800,1478800,5471600,3443500,14172100,5560900,608000,794500,1464500,3999300,2542300,4193700,4419900,2337200,83433000,383100,13700,2402300,1222200,5213100,873400,9127100,11780100,5235300,12408500,47451600,8362700,11501400,9280100,21067800,5883100,3181100,6195800
2018-03-16,57900,3430100,66155800,16119900,2542700,3443900,5867300,11726000,6258900,1371900,213100,19484400,20880700,17135900,5189600,6394300,3000900,2496400,9106600,36000300,6851000,804100,569600,787500,4528700,2444900,4315400,2938100,2148300,100343700,266400,5400,1792600,1235900,3723900,1492700,12060400,13220200,5526500,14342600,61278200,10840000,12202300,9629100,19756300,7067700,3567400,9455700
2018-03-19,102800,5739500,65394200,24159700,2997400,2751000,9367300,8923600,5133100,1931300,419100,23984700,30109500,9923300,5106800,8880300,2388800,1977000,4573300,25663000,5232000,1900600,1358300,1347900,7214300,4611100,6423900,5885200,4405600,109208400,706600,35700,3391200,2139500,7595400,1289400,9602300,10828200,6341200,14525000,52145000,10845700,19868400,10714700,21689600,7190200,4233900,3927800
2018-03-20,99100,3258400,60101700,20578800,4257500,5585400,12449500,10683300,9358600,796800,205800,20329000,40842100,8445400,4528500,7552000,2498100,1381400,5915200,11418500,3499500,1512100,1050100,765300,3623400,3028700,3142600,3356600,2815800,59757300,175200,12100,1744500,1141000,2912400,1046300,7377000,10136500,3614400,11259100,37146500,7111800,9382800,9888200,14968200,5534400,2902000,7136700
2018-03-21,73500,4341400,78575100,17479200,3942800,3906300,6881800,14634600,17534900,1938100,250200,23878200,77132100,24152400,5076500,12298900,2188800,2306400,4234400,22213500,4858400,1542200,1372200,1056700,5634600,2737700,4552800,4460900,3631300,78709600,267100,11600,2543400,1929800,5525400,1216800,8314200,16454000,4853700,16439600,53291400,13818700,10933500,17028500,19235900,5498700,4711800,3248600
2018-03-22,141200,7449700,87622700,42084300,5829800,7047900,12594000,15576000,16932400,3804600,880600,43079000,34294500,9310500,10956700,14442800,3742200,2500800,4727500,29774800,8928100,3058800,2817100,1985000,10765200,6514800,10022300,8588000,5053900,148785900,642300,26700,4884600,2388400,8663700,1837700,15901500,16549100,7699700,18483800,85160300,18793900,21195100,15584100,25332400,14648500,3318400,4878600
2018-03-23,264200,7598700,82908800,44983200,7852700,6733300,17184500,17650400,19794900,4380400,1154300,45993000,74162800,17836500,7739300,17601900,4260300,3618200,5833600,35744100,11649100,3637800,2925300,2397800,11249500,11553500,10342200,8557900,5393100,183534800,582300,33600,4469200,2660800,9625800,2803500,13756700,20510700,7908900,19214300,89289500,15457100,20950800,15936400,17334300,11049000,5274300,4042600
